url,action,fields
https://www.madfientist.com/s-corp/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/s-corp/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/s-corp/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/s-corp/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/start-a-business/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/start-a-business/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/start-a-business/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/start-a-business/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/start-a-business/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/podcast/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/podcast/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/podcast/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/podcast/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/jlcollinsnh-interview/,https://app.convertkit.com/landing_pages/379273/subscribe,id|first_name|email
https://www.madfientist.com/jlcollinsnh-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/jlcollinsnh-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/jlcollinsnh-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/jlcollinsnh-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/archives,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/archives,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/archives,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/archives,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/traditional-ira-vs-roth-ira/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/traditional-ira-vs-roth-ira/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/traditional-ira-vs-roth-ira/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/traditional-ira-vs-roth-ira/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/traditional-ira-vs-roth-ira/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/after-tax-contributions/,https://app.convertkit.com/landing_pages/48614/subscribe,id|first_name|email
https://www.madfientist.com/after-tax-contributions/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/after-tax-contributions/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/after-tax-contributions/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/after-tax-contributions/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/after-tax-contributions/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/retire-even-earlier/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/retire-even-earlier/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/retire-even-earlier/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/retire-even-earlier/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/retire-even-earlier/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/triple-income-value/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/triple-income-value/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/triple-income-value/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/triple-income-value/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/triple-income-value/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-1/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-1/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/guinea-pig-year-1/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-1/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-1/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-experiment/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/guinea-pig-experiment/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-experiment/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-experiment/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/front-loading/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/front-loading/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/front-loading/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/front-loading/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/front-loading/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-2/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-2/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/guinea-pig-year-2/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-2/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/guinea-pig-year-2/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/archives/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/archives/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/archives/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/archives/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/how-to-access-retirement-funds-early/,https://app.convertkit.com/landing_pages/48614/subscribe,id|first_name|email
https://www.madfientist.com/how-to-access-retirement-funds-early/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/how-to-access-retirement-funds-early/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/how-to-access-retirement-funds-early/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/how-to-access-retirement-funds-early/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/category/investing/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/category/investing/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/category/investing/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/michael-kitces-interview/,https://app.convertkit.com/landing_pages/379273/subscribe,id|first_name|email
https://www.madfientist.com/michael-kitces-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/michael-kitces-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/michael-kitces-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/michael-kitces-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/category/geographic-arbitrage/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/category/geographic-arbitrage/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/category/geographic-arbitrage/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/physician-on-fire-interview/,https://app.convertkit.com/landing_pages/48614/subscribe,id|first_name|email
https://www.madfientist.com/physician-on-fire-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/physician-on-fire-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/physician-on-fire-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/physician-on-fire-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/mad-fientist-interview/,https://app.convertkit.com/landing_pages/379273/subscribe,id|first_name|email
https://www.madfientist.com/mad-fientist-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/mad-fientist-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/mad-fientist-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/mad-fientist-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/1500-days-interview/,https://app.convertkit.com/landing_pages/379273/subscribe,id|first_name|email
https://www.madfientist.com/1500-days-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/1500-days-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/1500-days-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/1500-days-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/category/travel-hacking/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/category/travel-hacking/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/category/travel-hacking/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/travel-around-the-world/,https://app.convertkit.com/landing_pages/48614/subscribe,id|first_name|email
https://www.madfientist.com/travel-around-the-world/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/travel-around-the-world/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/travel-around-the-world/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/travel-around-the-world/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/category/fire/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/category/fire/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/category/fire/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/online-business-experiment/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/online-business-experiment/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/online-business-experiment/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/online-business-experiment/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/online-business-experiment/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/cal-newport-interview/,https://app.convertkit.com/landing_pages/379273/subscribe,id|first_name|email
https://www.madfientist.com/cal-newport-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/cal-newport-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/cal-newport-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/cal-newport-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/frugalwoods-interview/,https://app.convertkit.com/landing_pages/379273/subscribe,id|first_name|email
https://www.madfientist.com/frugalwoods-interview/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/frugalwoods-interview/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/frugalwoods-interview/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/frugalwoods-interview/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/category/real-estate/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/category/real-estate/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/category/real-estate/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
